date,fee
2024-05-18,148856
2024-05-19,156266
2024-05-20,308124
2024-05-21,250752
2024-05-22,221097
2024-05-23,305665
2024-05-24,230846
2024-05-25,184918
2024-05-26,146260
2024-05-27,160211
2024-05-28,183887
2024-05-29,168248
2024-05-30,212806
2024-05-31,246287
2024-06-01,154676
2024-06-02,130885
2024-06-03,198245
2024-06-04,155570
2024-06-05,187866
2024-06-06,170439
2024-06-07,207869
2024-06-08,273366
2024-06-09,234660
2024-06-10,153526
2024-06-11,183544
2024-06-12,176278
2024-06-13,219934
2024-06-14,229796
2024-06-15,161206
2024-06-16,106441
2024-06-17,328431
2024-06-18,374527
2024-06-19,220958
2024-06-20,231583
2024-06-21,192430
2024-06-22,138674
2024-06-23,149819
2024-06-24,201373
2024-06-25,188265
2024-06-26,159914
2024-06-27,86750
2024-06-28,144120
2024-06-29,71819
2024-06-30,146345
2024-07-01,315859
2024-07-02,170058
2024-07-03,158163
2024-07-04,158227
2024-07-05,356219
2024-07-06,264608
2024-07-07,133440
2024-07-08,228530
2024-07-09,156519
2024-07-10,128366
2024-07-11,100603
2024-07-12,176041
2024-07-13,121892
2024-07-14,102475
2024-07-15,64071
2024-07-16,165005
2024-07-17,142275
2024-07-18,173593
2024-07-19,194384
2024-07-20,114803
2024-07-21,286280
2024-07-22,154449
2024-07-23,202423
2024-07-24,144934
2024-07-25,103693
2024-07-26,168367
2024-07-27,180594
2024-07-28,104659
2024-07-29,143489
2024-07-30,122875
2024-07-31,152791
2024-08-01,160381
2024-08-02,142499
2024-08-03,167431
2024-08-04,142294
2024-08-05,487372
2024-08-06,487321
2024-08-07,185704
2024-08-08,260333
2024-08-09,207318
2024-08-10,134038
2024-08-11,163663
2024-08-12,904641
2024-08-13,215362
2024-08-14,131441
2024-08-15,167699
2024-08-16,162991
2024-08-17,106872
2024-08-18,145617
2024-08-19,135992
2024-08-20,146541
2024-08-21,180370
2024-08-22,193070
2024-08-23,187977
2024-08-24,151600
2024-08-25,166030
2024-08-26,155858
2024-08-27,163418
2024-08-28,199859
2024-08-29,227631
2024-08-30,211170
2024-08-31,103327
2024-09-01,101822
2024-09-02,106145
2024-09-03,130960
2024-09-04,221180
2024-09-05,225437
2024-09-06,231728
2024-09-07,111315
2024-09-08,103867
2024-09-09,143105
2024-09-10,106628
2024-09-11,137188
2024-09-12,110626
2024-09-13,144026
2024-09-14,157242
2024-09-15,112399
2024-09-16,150408
2024-09-17,163243
2024-09-18,140586
2024-09-19,165329
2024-09-20,155524
2024-09-21,96827
2024-09-22,122657
2024-09-23,155631
2024-09-24,149616
2024-09-25,149571
2024-09-26,181307
2024-09-27,162192
2024-09-28,173500
2024-09-29,126502
2024-09-30,201179
2024-10-01,195556
2024-10-02,218832
2024-10-03,175820
2024-10-04,139128
2024-10-05,139186
2024-10-06,99587
2024-10-07,162604
2024-10-08,125706
2024-10-09,105398
2024-10-10,118650
2024-10-11,110028
2024-10-12,130642
2024-10-13,147191
2024-10-14,165122
2024-10-15,188278
2024-10-16,145023
