market,instrument,base_asset,status
binance,OP-ETH,OPETH,ACTIVE
binance,USDT-ARS,USDTARS,ACTIVE
binance,ENS-FDUSD,ENSFDUSD,ACTIVE
binance,LUNA-USDT,LUNAUSDT,ACTIVE
binance,VET-TRY,VETTRY,ACTIVE
binance,ARB-USDT,ARBUSDT,ACTIVE
binance,BICO-BTC,BICOBTC,ACTIVE
binance,ATM-USDT,ATMUSDT,ACTIVE
binance,ANKR-BTC,ANKRBTC,ACTIVE
binance,VANRY-TRY,VANRYTRY,ACTIVE
binance,SANTOS-TRY,SANTOSTRY,ACTIVE
binance,XAI-FDUSD,XAIFDUSD,ACTIVE
binance,LQTY-BTC,LQTYBTC,ACTIVE
binance,CHR-USDT,CHRUSDT,ACTIVE
binance,STEEM-ETH,STEEMETH,ACTIVE
binance,FLOW-BTC,FLOWBTC,ACTIVE
binance,ARB-ETH,ARBETH,ACTIVE
binance,BTC-FDUSD,BTCFDUSD,ACTIVE
binance,ILV-USDT,ILVUSDT,ACTIVE
binance,XRP-FDUSD,XRPFDUSD,ACTIVE
binance,ICP-TRY,ICPTRY,ACTIVE
binance,LDO-TRY,LDOTRY,ACTIVE
binance,AMP-TRY,AMPTRY,ACTIVE
binance,MEME-USDT,MEMEUSDT,ACTIVE
binance,FLM-BTC,FLMBTC,ACTIVE
binance,GRT-EUR,GRTEUR,ACTIVE
binance,SUPER-TRY,SUPERTRY,ACTIVE
binance,LUNA-TRY,LUNATRY,ACTIVE
binance,ARB-TUSD,ARBTUSD,ACTIVE
binance,ALGO-TRY,ALGOTRY,ACTIVE
binance,BEL-USDT,BELUSDT,ACTIVE
binance,SLP-TRY,SLPTRY,ACTIVE
binance,BTC-UAH,BTCUAH,ACTIVE
binance,ARKM-BTC,ARKMBTC,ACTIVE
binance,DUSK-BTC,DUSKBTC,ACTIVE
binance,SEI-USDC,SEIUSDC,ACTIVE
binance,ACE-TRY,ACETRY,ACTIVE
binance,RONIN-TRY,RONINTRY,ACTIVE
binance,STX-FDUSD,STXFDUSD,ACTIVE
binance,FDUSD-USDT,FDUSDUSDT,ACTIVE
binance,ORDI-USDC,ORDIUSDC,ACTIVE
binance,NEXO-BTC,NEXOBTC,ACTIVE
binance,WLD-USDC,WLDUSDC,ACTIVE
binance,KDA-USDT,KDAUSDT,ACTIVE
binance,COMP-BTC,COMPBTC,ACTIVE
binance,VET-EUR,VETEUR,ACTIVE
binance,USDT-TRY,USDTTRY,ACTIVE
binance,VIC-BTC,VICBTC,ACTIVE
