market,instrument,base_asset,quote_asset,time,open,high,low,close,total_trades,total_trades_buy,total_trades_sell,volume,quote_volume,volume_buy,quote_volume_buy,volume_sell,quote_volume_sell
binance,BTC-USDT,BTC,USDT,2025-01-07 15:00:00,99979.69,100142.99,97153.5,97952.26,775752,362955,412797,8692.12932,855938530.96081,3879.92278,381954520.616001,4812.20654,473984010.34507
binance,BTC-USDT,BTC,USDT,2025-01-07 16:00:00,97952.26,98347.81,97586.41,97733.58,442440,237802,204638,2402.7833,235292485.784925,1126.63813,110332435.796085,1276.14517,124960049.98952
binance,BTC-USDT,BTC,USDT,2025-01-07 17:00:00,97733.58,97806.03,96577.0,97277.31,438707,204655,234052,2384.90474,231857792.03256,1053.65455,102430583.946556,1331.25019,129427208.086704
binance,BTC-USDT,BTC,USDT,2025-01-07 18:00:00,97277.31,97541.6,96600.0,96750.86,354651,168241,186410,1551.15869,150552119.616983,726.61951,70527555.7245015,824.53918,80024563.892694
binance,BTC-USDT,BTC,USDT,2025-01-07 19:00:00,96750.86,97200.01,96323.67,96451.98,277967,136369,141598,1482.07032,143327800.451387,738.45587,71423251.7642062,743.61445,71904548.6870366
binance,BTC-USDT,BTC,USDT,2025-01-07 20:00:00,96451.98,96870.52,96181.81,96533.35,293551,149564,143987,1820.47033,175575680.418111,925.25984,89236017.2105862,895.21049,86339663.2069465
binance,BTC-USDT,BTC,USDT,2025-01-07 21:00:00,96533.35,97094.19,96400.0,96501.22,147589,81387,66202,1161.95008,112405580.443348,595.792,57643368.3094321,566.15808,54762212.1337595
binance,BTC-USDT,BTC,USDT,2025-01-07 22:00:00,96501.22,97220.76,96412.0,97164.0,130435,73746,56689,708.70971,68673974.2258534,364.43359,35313356.4085698,344.27612,33360617.8172836
binance,BTC-USDT,BTC,USDT,2025-01-07 23:00:00,97164.0,97169.65,96800.8,96954.61,132079,70653,61426,810.74206,78626367.7300212,415.74179,40318462.2092805,395.00027,38307905.5207407
binance,BTC-USDT,BTC,USDT,2025-01-08 00:00:00,96954.61,97268.65,96707.77,97268.49,116907,62521,54386,817.8225,79354290.5047793,471.60906,45774136.8092627,346.21344,33580153.6955166
binance,BTC-USDT,BTC,USDT,2025-01-08 01:00:00,97268.49,97268.5,96608.14,96907.15,106748,49460,57288,751.04704,72776297.8305739,295.31846,28615846.7862418,455.72858,44160451.0443321
binance,BTC-USDT,BTC,USDT,2025-01-08 02:00:00,96907.15,97181.82,96778.57,96878.14,84486,45977,38509,677.26436,65708214.7589746,341.93284,33179403.2067544,335.33152,32528811.5522202
