instrument,time,open,high,low,close,volume,quote_volume
BTC-USDT,2025-02-11 06:00:00,98412.24,98476.0,98135.67,98446.86,557.16259316,54790336.54373817
BTC-USDT,2025-02-11 07:00:00,98424.33,98464.03,98258.46,98277.71,648.47999492,63793479.59002311
BTC-USDT,2025-02-11 08:00:00,98268.97,98339.96,98109.29,98216.48,474.00755919,46554413.755074486
BTC-USDT,2025-02-11 09:00:00,98223.79,98318.2,97913.8,97990.74,450.38565457,44190077.3905927
BTC-USDT,2025-02-11 10:00:00,97999.99,98134.35,97885.62,97973.33,486.78041114,47708730.73356481
BTC-USDT,2025-02-11 11:00:00,97961.25,98237.52,97892.63,98155.47,304.14846893,29825995.443907328
BTC-USDT,2025-02-11 12:00:00,98151.52,98158.89,97679.75,97788.56,558.4363514800001,54643277.433051035
BTC-USDT,2025-02-11 13:00:00,97766.13,97850.0,96670.0,96802.95,1325.52363261,128958889.14210902
BTC-USDT,2025-02-11 14:00:00,96799.53,97322.08,96595.33,96970.76,1283.5504121899999,124422754.81133498
BTC-USDT,2025-02-11 15:00:00,96962.03,97274.1,96631.38,96999.5,1118.5118003100001,108437886.51706116
BTC-USDT,2025-02-11 16:00:00,97007.53,97050.69,96286.3,96350.83,1210.56017464,116983563.3686552
BTC-USDT,2025-02-11 17:00:00,96365.05,96395.28,95950.0,96152.02,1086.2303796,104472377.59165868
BTC-USDT,2025-02-11 18:00:00,96165.29,96165.29,95396.64,95443.58,1247.43649592,119430399.80434181
BTC-USDT,2025-02-11 19:00:00,95469.28,95658.24,94869.69,95032.39,1397.87785496,132991044.14333525
BTC-USDT,2025-02-11 20:00:00,95040.82,95439.27,94912.14,95304.02,926.09837206,88123737.8966339
BTC-USDT,2025-02-11 21:00:00,95305.0,96449.26,95256.8,96377.63,931.56806663,89326786.181822
BTC-USDT,2025-02-11 22:00:00,96390.23,96512.7,95353.64,95553.86,851.94778077,81761917.66896917
BTC-USDT,2025-02-11 23:00:00,95580.23,95966.65,95490.05,95767.04,542.32698683,51914456.70582383
BTC-USDT,2025-02-12 00:00:00,95778.2,96120.0,95672.56,96078.05,581.07428259,55715150.11316931
BTC-USDT,2025-02-12 01:00:00,96060.0,96263.99,95817.69,96196.27,377.76176343,36271953.371725895
BTC-USDT,2025-02-12 02:00:00,96207.32,96214.7,95384.61,95579.03,671.2345691300001,64297263.22160052
BTC-USDT,2025-02-12 03:00:00,95579.14,95762.67,95094.51,95300.17,810.5081685600001,77376435.11697657
BTC-USDT,2025-02-12 04:00:00,95299.27,95611.12,95267.71,95552.23,559.99855387,53456795.420111775
BTC-USDT,2025-02-12 05:00:00,95556.98,95933.3,95506.3,95887.4,322.68982029,30903611.042109746
BTC-USDT,2025-02-12 06:00:00,95886.54,95953.03,95684.0,95819.82,358.07901832,34314897.996084735
BTC-USDT,2025-02-12 07:00:00,95817.87,96188.68,95793.11,96064.83,721.20210661,69242926.12317419
BTC-USDT,2025-02-12 08:00:00,96069.58,96469.78,96047.73,96351.3,488.35777623999996,47016765.522178434
BTC-USDT,2025-02-12 09:00:00,96358.46,96401.78,96014.69,96152.78,986.2009831199999,94850219.11627352
BTC-USDT,2025-02-12 10:00:00,96129.28,96205.22,95906.59,95977.12,401.84424889,38616327.536460206
BTC-USDT,2025-02-12 11:00:00,95978.01,96382.04,95972.19,96099.17,440.14188103,42336248.553273216
BTC-USDT,2025-02-12 12:00:00,96094.65,96361.43,95944.44,95979.57,476.89340974,45863635.936874755
BTC-USDT,2025-02-12 13:00:00,95982.97,96631.66,94066.87,94963.7,6270.67920742,595921979.863174
BTC-USDT,2025-02-12 14:00:00,94975.38,95695.54,94500.0,95630.82,2858.09376626,271772408.43922263
BTC-USDT,2025-02-12 15:00:00,95628.91,95999.65,94708.17,95813.88,2344.75585551,223921301.28305182
BTC-USDT,2025-02-12 16:00:00,95816.18,97111.0,95105.97,96986.61,2271.0886677400003,218457433.15019602
BTC-USDT,2025-02-12 17:00:00,96986.14,97702.2,96759.96,97341.05,2580.01810953,250860892.74235967
BTC-USDT,2025-02-12 18:00:00,97354.89,97450.0,96622.24,96939.63,1211.0532579,117448957.34173737
BTC-USDT,2025-02-12 19:00:00,96921.43,97278.16,96347.44,97166.74,727.79829567,70476235.42291649
BTC-USDT,2025-02-12 20:00:00,97205.06,97642.17,96931.89,97026.31,955.05299626,92937687.65742202
BTC-USDT,2025-02-12 21:00:00,97025.24,97924.61,96847.45,97653.6,1055.98005565,102996677.58510673
BTC-USDT,2025-02-12 22:00:00,97646.5,98119.99,97416.4,97832.9,1197.63440812,117217764.70533718
BTC-USDT,2025-02-12 23:00:00,97806.57,98015.88,97527.46,97861.05,877.6020926599999,85841670.00537117
BTC-USDT,2025-02-13 00:00:00,97869.99,97870.0,97534.07,97817.49,626.06003829,61150921.86587812
BTC-USDT,2025-02-13 01:00:00,97818.91,98083.91,97743.57,97977.68,694.27078611,67965692.45942403
BTC-USDT,2025-02-13 02:00:00,97986.19,97986.19,97367.45,97445.62,452.01327398999996,44148165.75949062
BTC-USDT,2025-02-13 03:00:00,97473.66,97631.03,97430.0,97512.31,378.86531764,36951275.7014991
BTC-USDT,2025-02-13 04:00:00,97498.42,97564.83,96756.35,96971.04,716.36703245,69582031.8128534
BTC-USDT,2025-02-13 05:00:00,96927.46,96971.04,96503.38,96682.25,754.79587944,73005408.73623155
BTC-USDT,2025-02-13 06:00:00,96666.38,96757.5,95792.24,96039.23,1102.99909851,106117743.14171006
BTC-USDT,2025-02-13 07:00:00,96056.72,96232.86,95882.01,96071.78,842.53378104,80956217.06146348
BTC-USDT,2025-02-13 08:00:00,96070.23,96175.34,95649.85,95942.08,1220.68429962,117105524.09730329
BTC-USDT,2025-02-13 09:00:00,95943.62,96297.76,95780.35,96272.79,647.06994281,62197796.94801807
BTC-USDT,2025-02-13 10:00:00,96262.25,96343.39,96103.14,96140.69,426.31130236,41015368.477383345
BTC-USDT,2025-02-13 11:00:00,96155.86,96288.74,95545.92,95927.55,893.4124825499999,85700597.3960336
